Athlete A: 1.0
Knuckle City: 1.0
Zero to Hero: 1.0
Stay on Board: The Leo Baker Story: 1.0
Audible: 1.0
Sisters on Track: 1.0
Facing Nolan: 0.96
The Peanut Butter Falcon: 0.95
Blood Brothers: Malcolm X & Muhammad Ali: 0.94
Hustle: 0.93
The Novice: 0.93
The Redeem Team: 0.93
14 Peaks: Nothing Is Impossible: 0.91
Skater Girl: 0.89
Grizzlies: 0.87
Rising Phoenix: 0.86
NYAD: 0.85
The Swimmers: 0.83
Schumacher: 0.6
Jersey: 0.5
The Hill: 0.44
The Main Event: 0.29
Space Jam: A New Legacy: 0.25
Home Team: 0.21
